date,action,ticker,name,contraticker,contraname,note
2021-02-19,current,VRSK,Verisk Analytics Inc,N/A,N/A,
2021-02-19,current,VNT,Vontier Corp,N/A,N/A,
2021-02-19,current,VNO,Vornado Realty Trust,N/A,N/A,
2021-02-19,current,VMC,Vulcan Materials CO,N/A,N/A,
2021-02-19,current,VLO,Valero Energy Corp,N/A,N/A,
2021-02-19,current,VIAC,ViacomCBS Inc,N/A,N/A,
2021-02-19,current,VFC,V F Corp,N/A,N/A,
2021-02-19,current,VAR,Varian Medical Systems Inc,N/A,N/A,
2021-02-19,current,V,Visa Inc,N/A,N/A,
2021-02-19,current,USB,Us Bancorp,N/A,N/A,
2021-02-19,current,URI,United Rentals Inc,N/A,N/A,
2021-02-19,current,UPS,United Parcel Service Inc,N/A,N/A,
2021-02-19,current,UNP,Union Pacific Corp,N/A,N/A,
2021-02-19,current,UNM,Unum Group,N/A,N/A,
2021-02-19,current,UNH,Unitedhealth Group Inc,N/A,N/A,
2021-02-19,current,ULTA,Ulta Beauty Inc,N/A,N/A,
2021-02-19,current,UHS,Universal Health Services Inc,N/A,N/A,
2021-02-19,current,UDR,UDR Inc,N/A,N/A,
2021-02-19,current,UAL,United Airlines Holdings Inc,N/A,N/A,
2021-02-19,current,UAA,Under Armour Inc,N/A,N/A,
2021-02-19,current,UA,Under Armour Inc,N/A,N/A,
2021-02-19,current,TYL,Tyler Technologies Inc,N/A,N/A,
2021-02-19,current,TXT,Textron Inc,N/A,N/A,
2021-02-19,current,TXN,Texas Instruments Inc,N/A,N/A,
2021-02-19,current,TWTR,Twitter Inc,N/A,N/A,
2021-02-19,current,TTWO,Take Two Interactive Software Inc,N/A,N/A,
2021-02-19,current,TT,Trane Technologies plc,N/A,N/A,
2021-02-19,current,TSN,Tyson Foods Inc,N/A,N/A,
2021-02-19,current,TSLA,Tesla Inc,N/A,N/A,
2021-02-19,current,TSCO,Tractor Supply Co,N/A,N/A,
2021-02-19,current,TRV,Travelers Companies Inc,N/A,N/A,
2021-02-19,current,TROW,Price T Rowe Group Inc,N/A,N/A,
2021-02-19,current,TRMB,Trimble Inc,N/A,N/A,
2021-02-19,current,TPR,Tapestry Inc,N/A,N/A,
2021-02-19,current,TMUS,T-Mobile US Inc,N/A,N/A,
2021-02-19,current,TMO,Thermo Fisher Scientific Inc,N/A,N/A,
2021-02-19,current,TJX,Tjx Companies Inc,N/A,N/A,
2021-02-19,current,TGT,Target Corp,N/A,N/A,
2021-02-19,current,TFX,Teleflex Inc,N/A,N/A,
2021-02-19,current,TFC,Truist Financial Corp,N/A,N/A,
2021-02-19,current,TER,Teradyne Inc,N/A,N/A,
2021-02-19,current,TEL,TE Connectivity Ltd,N/A,N/A,
2021-02-19,current,TDY,Teledyne Technologies Inc,N/A,N/A,
2021-02-19,current,TDG,TransDigm Group INC,N/A,N/A,
2021-02-19,current,TAP,Molson Coors Beverage Co,N/A,N/A,
2021-02-19,current,T,At&T Inc,N/A,N/A,
2021-02-19,current,SYY,Sysco Corp,N/A,N/A,
2021-02-19,current,SYK,Stryker Corp,N/A,N/A,
2021-02-19,current,SYF,Synchrony Financial,N/A,N/A,
2021-02-19,current,SWKS,Skyworks Solutions Inc,N/A,N/A,
2021-02-19,current,SWK,Stanley Black & Decker Inc,N/A,N/A,
2021-02-19,current,STZ,Constellation Brands Inc,N/A,N/A,
2021-02-19,current,STX,Seagate Technology plc,N/A,N/A,
2021-02-19,current,STT,State Street Corp,N/A,N/A,
2021-02-19,current,STE,STERIS plc,N/A,N/A,
2021-02-19,current,SRE,Sempra Energy,N/A,N/A,
2021-02-19,current,SPGI,S&P Global Inc,N/A,N/A,
2021-02-19,current,SPG,Simon Property Group Inc,N/A,N/A,
2021-02-19,current,SO,Southern Co,N/A,N/A,
2021-02-19,current,SNPS,Synopsys Inc,N/A,N/A,
2021-02-19,current,SNA,Snap-on Inc,N/A,N/A,
2021-02-19,current,SLG,Sl Green Realty Corp,N/A,N/A,
2021-02-19,current,SLB,Schlumberger Limited,N/A,N/A,
2021-02-19,current,SJM,J M SMUCKER Co,N/A,N/A,
2021-02-19,current,SIVB,Svb Financial Group,N/A,N/A,
2021-02-19,current,SHW,Sherwin Williams Co,N/A,N/A,
2021-02-19,current,SEE,Sealed Air Corp,N/A,N/A,
2021-02-19,current,SCHW,Schwab Charles Corp,N/A,N/A,
2021-02-19,current,SBUX,Starbucks Corp,N/A,N/A,
2021-02-19,current,SBAC,Sba Communications Corp,N/A,N/A,
2021-02-19,current,RTX,Raytheon Technologies Corp,N/A,N/A,
2021-02-19,current,RSG,Republic Services Inc,N/A,N/A,
2021-02-19,current,ROST,Ross Stores Inc,N/A,N/A,
2021-02-19,current,ROP,Roper Technologies Inc,N/A,N/A,
2021-02-19,current,ROL,Rollins Inc,N/A,N/A,
2021-02-19,current,ROK,Rockwell Automation Inc,N/A,N/A,
2021-02-19,current,RMD,Resmed Inc,N/A,N/A,
2021-02-19,current,RL,Ralph Lauren Corp,N/A,N/A,
2021-02-19,current,RJF,Raymond James Financial Inc,N/A,N/A,
2021-02-19,current,RHI,Robert Half International Inc,N/A,N/A,
2021-02-19,current,RF,Regions Financial Corp,N/A,N/A,
2021-02-19,current,REGN,Regeneron Pharmaceuticals Inc,N/A,N/A,
2021-02-19,current,REG,Regency Centers Corp,N/A,N/A,
2021-02-19,current,RE,Everest Re Group Ltd,N/A,N/A,
2021-02-19,current,RCL,Royal Caribbean Cruises Ltd,N/A,N/A,
2021-02-19,current,QRVO,Qorvo Inc,N/A,N/A,
2021-02-19,current,QCOM,Qualcomm Inc,N/A,N/A,
2021-02-19,current,PYPL,PayPal Holdings Inc,N/A,N/A,
2021-02-19,current,PXD,Pioneer Natural Resources Co,N/A,N/A,
2021-02-19,current,PWR,Quanta Services Inc,N/A,N/A,
2021-02-19,current,PVH,Pvh Corp,N/A,N/A,
2021-02-19,current,PSX,Phillips 66,N/A,N/A,
2021-02-19,current,PSA,Public Storage,N/A,N/A,
2021-02-19,current,PRU,Prudential Financial Inc,N/A,N/A,
2021-02-19,current,PRGO,PERRIGO Co plc,N/A,N/A,
2021-02-19,current,PPL,PPL Corp,N/A,N/A,
2021-02-19,current,PPG,Ppg Industries Inc,N/A,N/A,
2021-02-19,current,POOL,Pool Corp,N/A,N/A,
2021-02-19,current,PNW,Pinnacle West Capital Corp,N/A,N/A,
2021-02-19,current,PNR,PENTAIR plc,N/A,N/A,
2021-02-19,current,PNC,Pnc Financial Services Group Inc,N/A,N/A,
2021-02-19,current,PM,Philip Morris International Inc,N/A,N/A,
2021-02-19,current,PLD,Prologis Inc,N/A,N/A,
2021-02-19,current,PKI,Perkinelmer Inc,N/A,N/A,
2021-02-19,current,PKG,Packaging Corp Of America,N/A,N/A,
2021-02-19,current,PHM,Pultegroup Inc,N/A,N/A,
2021-02-19,current,PH,Parker Hannifin Corp,N/A,N/A,
2021-02-19,current,PGR,Progressive Corp,N/A,N/A,
2021-02-19,current,PG,PROCTER & GAMBLE Co,N/A,N/A,
2021-02-19,current,PFG,Principal Financial Group Inc,N/A,N/A,
2021-02-19,current,PFE,Pfizer Inc,N/A,N/A,
2021-02-19,current,PEP,Pepsico Inc,N/A,N/A,
2021-02-19,current,PEG,Public Service Enterprise Group Inc,N/A,N/A,
2021-02-19,current,PEAK,Healthpeak Properties Inc,N/A,N/A,
2021-02-19,current,PCAR,Paccar Inc,N/A,N/A,
2021-02-19,current,PBCT,People's United Financial Inc,N/A,N/A,
2021-02-19,current,PAYX,Paychex Inc,N/A,N/A,
2021-02-19,current,PAYC,Paycom Software Inc,N/A,N/A,
2021-02-19,current,OXY,Occidental Petroleum Corp,N/A,N/A,
2021-02-19,current,OTIS,Otis Worldwide Corp,N/A,N/A,
2021-02-19,current,ORLY,O Reilly Automotive Inc,N/A,N/A,
2021-02-19,current,ORCL,Oracle Corp,N/A,N/A,
2021-02-19,current,OMC,Omnicom Group Inc,N/A,N/A,
2021-02-19,current,OKE,Oneok Inc,N/A,N/A,
2021-02-19,current,ODFL,Old Dominion Freight Line Inc,N/A,N/A,
2021-02-19,current,O,Realty Income Corp,N/A,N/A,
2021-02-19,current,NWSA,News Corp,N/A,N/A,
2021-02-19,current,NWS,News Corp,N/A,N/A,
2021-02-19,current,NWL,Newell Brands Inc,N/A,N/A,
2021-02-19,current,NVR,Nvr Inc,N/A,N/A,
2021-02-19,current,NVDA,Nvidia Corp,N/A,N/A,
2021-02-19,current,NUE,Nucor Corp,N/A,N/A,
2021-02-19,current,NTRS,Northern Trust Corp,N/A,N/A,
2021-02-19,current,NTAP,NetApp Inc,N/A,N/A,
2021-02-19,current,NSC,Norfolk Southern Corp,N/A,N/A,
2021-02-19,current,NRG,Nrg Energy Inc,N/A,N/A,
2021-02-19,current,NOW,ServiceNow Inc,N/A,N/A,
2021-02-19,current,NOV,NOV Inc,N/A,N/A,
2021-02-19,current,NOC,Northrop Grumman Corp,N/A,N/A,
2021-02-19,current,NLSN,Nielsen Holdings plc,N/A,N/A,
2021-02-19,current,NLOK,NortonLifeLock Inc,N/A,N/A,
2021-02-19,current,NKE,NIKE Inc,N/A,N/A,
2021-02-19,current,NI,Nisource Inc,N/A,N/A,
2021-02-19,current,NFLX,Netflix Inc,N/A,N/A,
2021-02-19,current,NEM,NEWMONT Corp,N/A,N/A,
2021-02-19,current,NEE,Nextera Energy Inc,N/A,N/A,
2021-02-19,current,NDAQ,Nasdaq Inc,N/A,N/A,
2021-02-19,current,NCLH,Norwegian Cruise Line Holdings Ltd,N/A,N/A,
2021-02-19,current,MXIM,Maxim Integrated Products Inc,N/A,N/A,
2021-02-19,current,MU,Micron Technology Inc,N/A,N/A,
2021-02-19,current,MTD,Mettler Toledo International Inc,N/A,N/A,
2021-02-19,current,MTB,M&T Bank Corp,N/A,N/A,
2021-02-19,current,MSI,Motorola Solutions Inc,N/A,N/A,
2021-02-19,current,MSFT,Microsoft Corp,N/A,N/A,
2021-02-19,current,MSCI,MSCI Inc,N/A,N/A,
2021-02-19,current,MS,Morgan Stanley,N/A,N/A,
2021-02-19,current,MRO,Marathon Oil Corp,N/A,N/A,
2021-02-19,current,MRK,Merck & Co Inc,N/A,N/A,
2021-02-19,current,MPC,Marathon Petroleum Corp,N/A,N/A,
2021-02-19,current,MOS,Mosaic Co,N/A,N/A,
2021-02-19,current,MO,Altria Group Inc,N/A,N/A,
2021-02-19,current,MNST,Monster Beverage Corp,N/A,N/A,
2021-02-19,current,MMM,3M Co,N/A,N/A,
2021-02-19,current,MMC,Marsh & Mclennan Companies Inc,N/A,N/A,
2021-02-19,current,MLM,Martin Marietta Materials Inc,N/A,N/A,
2021-02-19,current,MKTX,Marketaxess Holdings Inc,N/A,N/A,
2021-02-19,current,MKC,Mccormick & Co Inc,N/A,N/A,
2021-02-19,current,MHK,Mohawk Industries Inc,N/A,N/A,
2021-02-19,current,MGM,MGM Resorts International,N/A,N/A,
2021-02-19,current,MET,Metlife Inc,N/A,N/A,
2021-02-19,current,MDT,Medtronic plc,N/A,N/A,
2021-02-19,current,MDLZ,Mondelez International Inc,N/A,N/A,
2021-02-19,current,MCO,Moodys Corp,N/A,N/A,
2021-02-19,current,MCK,Mckesson Corp,N/A,N/A,
2021-02-19,current,MCHP,Microchip Technology Inc,N/A,N/A,
2021-02-19,current,MCD,Mcdonalds Corp,N/A,N/A,
2021-02-19,current,MAS,Masco Corp,N/A,N/A,
2021-02-19,current,MAR,Marriott International Inc,N/A,N/A,
2021-02-19,current,MAA,Mid America Apartment Communities Inc,N/A,N/A,
2021-02-19,current,MA,Mastercard Inc,N/A,N/A,
2021-02-19,current,LYV,Live Nation Entertainment Inc,N/A,N/A,
2021-02-19,current,LYB,LyondellBasell Industries NV,N/A,N/A,
2021-02-19,current,LW,Lamb Weston Holdings Inc,N/A,N/A,
2021-02-19,current,LVS,Las Vegas Sands Corp,N/A,N/A,
2021-02-19,current,LUV,Southwest Airlines Co,N/A,N/A,
2021-02-19,current,LUMN,Lumen Technologies Inc,N/A,N/A,
2021-02-19,current,LRCX,Lam Research Corp,N/A,N/A,
2021-02-19,current,LOW,Lowes Companies Inc,N/A,N/A,
2021-02-19,current,LNT,Alliant Energy Corp,N/A,N/A,
2021-02-19,current,LNC,Lincoln National Corp,N/A,N/A,
2021-02-19,current,LMT,Lockheed Martin Corp,N/A,N/A,
2021-02-19,current,LLY,ELI LILLY & Co,N/A,N/A,
2021-02-19,current,LKQ,Lkq Corp,N/A,N/A,
2021-02-19,current,LIN,Linde Plc,N/A,N/A,
2021-02-19,current,LHX,L3Harris Technologies Inc,N/A,N/A,
2021-02-19,current,LH,Laboratory Corp Of America Holdings,N/A,N/A,
2021-02-19,current,LEN,Lennar Corp,N/A,N/A,
2021-02-19,current,LEG,Leggett & Platt Inc,N/A,N/A,
2021-02-19,current,LDOS,Leidos Holdings Inc,N/A,N/A,
2021-02-19,current,LB,L Brands Inc,N/A,N/A,
2021-02-19,current,L,Loews Corp,N/A,N/A,
2021-02-19,current,KSU,Kansas City Southern,N/A,N/A,
2021-02-19,current,KR,Kroger Co,N/A,N/A,
2021-02-19,current,KO,Coca Cola Co,N/A,N/A,
2021-02-19,current,KMX,Carmax Inc,N/A,N/A,
2021-02-19,current,KMI,Kinder Morgan Inc,N/A,N/A,
2021-02-19,current,KMB,Kimberly Clark Corp,N/A,N/A,
2021-02-19,current,KLAC,Kla Corp,N/A,N/A,
2021-02-19,current,KIM,Kimco Realty Corp,N/A,N/A,
2021-02-19,current,KHC,Kraft Heinz Co,N/A,N/A,
2021-02-19,current,KEYS,Keysight Technologies Inc,N/A,N/A,
2021-02-19,current,KEY,Keycorp,N/A,N/A,
2021-02-19,current,K,Kellogg Co,N/A,N/A,
2021-02-19,current,JPM,Jpmorgan Chase & Co,N/A,N/A,
2021-02-19,current,JNPR,Juniper Networks Inc,N/A,N/A,
2021-02-19,current,JNJ,Johnson & Johnson,N/A,N/A,
2021-02-19,current,JKHY,Henry Jack & Associates Inc,N/A,N/A,
2021-02-19,current,JCI,Johnson Controls International plc,N/A,N/A,
2021-02-19,current,JBHT,Hunt J B Transport Services Inc,N/A,N/A,
2021-02-19,current,J,Jacobs Engineering Group Inc,N/A,N/A,
2021-02-19,current,IVZ,Invesco Ltd,N/A,N/A,
2021-02-19,current,ITW,Illinois Tool Works Inc,N/A,N/A,
2021-02-19,current,IT,Gartner Inc,N/A,N/A,
2021-02-19,current,ISRG,Intuitive Surgical Inc,N/A,N/A,
2021-02-19,current,IRM,Iron Mountain Inc,N/A,N/A,
2021-02-19,current,IR,Ingersoll Rand Inc,N/A,N/A,
2021-02-19,current,IQV,Iqvia Holdings Inc,N/A,N/A,
2021-02-19,current,IPGP,Ipg Photonics Corp,N/A,N/A,
2021-02-19,current,IPG,Interpublic Group Of Companies Inc,N/A,N/A,
2021-02-19,current,IP,International Paper Co,N/A,N/A,
2021-02-19,current,INTU,Intuit Inc,N/A,N/A,
2021-02-19,current,INTC,Intel Corp,N/A,N/A,
2021-02-19,current,INFO,IHS Markit Ltd,N/A,N/A,
2021-02-19,current,INCY,Incyte Corp,N/A,N/A,
2021-02-19,current,ILMN,Illumina Inc,N/A,N/A,
2021-02-19,current,IFF,International Flavors & Fragrances Inc,N/A,N/A,
2021-02-19,current,IEX,Idex Corp,N/A,N/A,
2021-02-19,current,IDXX,Idexx Laboratories Inc,N/A,N/A,
2021-02-19,current,ICE,Intercontinental Exchange Inc,N/A,N/A,
2021-02-19,current,IBM,International Business Machines Corp,N/A,N/A,
2021-02-19,current,HWM,Howmet Aerospace Inc,N/A,N/A,
2021-02-19,current,HUM,Humana Inc,N/A,N/A,
2021-02-19,current,HSY,Hershey Co,N/A,N/A,
2021-02-19,current,HST,Host Hotels & Resorts Inc,N/A,N/A,
2021-02-19,current,HSIC,Henry Schein Inc,N/A,N/A,
2021-02-19,current,HRL,Hormel Foods Corp,N/A,N/A,
2021-02-19,current,HPQ,Hp Inc,N/A,N/A,
2021-02-19,current,HPE,Hewlett Packard Enterprise Co,N/A,N/A,
2021-02-19,current,HON,Honeywell International Inc,N/A,N/A,
2021-02-19,current,HOLX,Hologic Inc,N/A,N/A,
2021-02-19,current,HLT,Hilton Worldwide Holdings Inc,N/A,N/A,
2021-02-19,current,HII,Huntington Ingalls Industries Inc,N/A,N/A,
2021-02-19,current,HIG,Hartford Financial Services Group Inc,N/A,N/A,
2021-02-19,current,HFC,HollyFrontier Corp,N/A,N/A,
2021-02-19,current,HES,Hess Corp,N/A,N/A,
2021-02-19,current,HD,Home Depot Inc,N/A,N/A,
2021-02-19,current,HCA,HCA Healthcare Inc,N/A,N/A,
2021-02-19,current,HBI,Hanesbrands Inc,N/A,N/A,
2021-02-19,current,HBAN,Huntington Bancshares Inc,N/A,N/A,
2021-02-19,current,HAS,Hasbro Inc,N/A,N/A,
2021-02-19,current,HAL,Halliburton Co,N/A,N/A,
2021-02-19,current,GWW,Ww Grainger Inc,N/A,N/A,
2021-02-19,current,GS,Goldman Sachs Group Inc,N/A,N/A,
2021-02-19,current,GRMN,Garmin Ltd,N/A,N/A,
2021-02-19,current,GPS,Gap Inc,N/A,N/A,
2021-02-19,current,GPN,Global Payments Inc,N/A,N/A,
2021-02-19,current,GPC,Genuine Parts Co,N/A,N/A,
2021-02-19,current,GOOGL,Alphabet Inc,N/A,N/A,
2021-02-19,current,GOOG,Alphabet Inc,N/A,N/A,
2021-02-19,current,GM,General Motors Co,N/A,N/A,
2021-02-19,current,GLW,Corning Inc,N/A,N/A,
2021-02-19,current,GL,Globe Life Inc,N/A,N/A,
2021-02-19,current,GIS,General Mills Inc,N/A,N/A,
2021-02-19,current,GILD,Gilead Sciences Inc,N/A,N/A,
2021-02-19,current,GE,General Electric Co,N/A,N/A,
2021-02-19,current,GD,General Dynamics Corp,N/A,N/A,
2021-02-19,current,FTV,Fortive Corp,N/A,N/A,
2021-02-19,current,FTNT,Fortinet Inc,N/A,N/A,
2021-02-19,current,FTI,TechnipFMC plc,N/A,N/A,
2021-02-19,current,FRT,Federal Realty Investment Trust,N/A,N/A,
2021-02-19,current,FRC,First Republic Bank,N/A,N/A,
2021-02-19,current,FOXA,Fox Corp,N/A,N/A,
2021-02-19,current,FOX,Fox Corp,N/A,N/A,
2021-02-19,current,FMC,Fmc Corp,N/A,N/A,
2021-02-19,current,FLT,Fleetcor Technologies Inc,N/A,N/A,
2021-02-19,current,FLS,Flowserve Corp,N/A,N/A,
2021-02-19,current,FLIR,Flir Systems Inc,N/A,N/A,
2021-02-19,current,FITB,Fifth Third Bancorp,N/A,N/A,
2021-02-19,current,FISV,Fiserv Inc,N/A,N/A,
2021-02-19,current,FIS,Fidelity National Information Services Inc,N/A,N/A,
2021-02-19,current,FFIV,F5 Networks Inc,N/A,N/A,
2021-02-19,current,FE,Firstenergy Corp,N/A,N/A,
2021-02-19,current,FDX,Fedex Corp,N/A,N/A,
2021-02-19,current,FCX,Freeport-Mcmoran Inc,N/A,N/A,
2021-02-19,current,FBHS,Fortune Brands Home & Security Inc,N/A,N/A,
2021-02-19,current,FB,Facebook Inc,N/A,N/A,
2021-02-19,current,FAST,Fastenal Co,N/A,N/A,
2021-02-19,current,FANG,Diamondback Energy Inc,N/A,N/A,
2021-02-19,current,F,Ford Motor Co,N/A,N/A,
2021-02-19,current,EXR,Extra Space Storage Inc,N/A,N/A,
2021-02-19,current,EXPE,Expedia Group Inc,N/A,N/A,
2021-02-19,current,EXPD,Expeditors International Of Washington Inc,N/A,N/A,
2021-02-19,current,EXC,Exelon Corp,N/A,N/A,
2021-02-19,current,EW,Edwards Lifesciences Corp,N/A,N/A,
2021-02-19,current,EVRG,Evergy Inc,N/A,N/A,
2021-02-19,current,ETSY,Etsy Inc,N/A,N/A,
2021-02-19,current,ETR,Entergy Corp,N/A,N/A,
2021-02-19,current,ETN,Eaton Corp plc,N/A,N/A,
2021-02-19,current,ESS,Essex Property Trust Inc,N/A,N/A,
2021-02-19,current,ES,Eversource Energy,N/A,N/A,
2021-02-19,current,EQR,Equity Residential,N/A,N/A,
2021-02-19,current,EQIX,Equinix Inc,N/A,N/A,
2021-02-19,current,EOG,Eog Resources Inc,N/A,N/A,
2021-02-19,current,ENPH,Enphase Energy Inc,N/A,N/A,
2021-02-19,current,EMR,Emerson Electric Co,N/A,N/A,
2021-02-19,current,EMN,Eastman Chemical Co,N/A,N/A,
2021-02-19,current,EL,Estee Lauder Companies Inc,N/A,N/A,
2021-02-19,current,EIX,Edison International,N/A,N/A,
2021-02-19,current,EFX,Equifax Inc,N/A,N/A,
2021-02-19,current,ED,Consolidated Edison Inc,N/A,N/A,
2021-02-19,current,ECL,Ecolab Inc,N/A,N/A,
2021-02-19,current,EBAY,Ebay Inc,N/A,N/A,
2021-02-19,current,EA,Electronic Arts Inc,N/A,N/A,
2021-02-19,current,DXCM,Dexcom Inc,N/A,N/A,
2021-02-19,current,DXC,DXC Technology Co,N/A,N/A,
2021-02-19,current,DVN,Devon Energy Corp,N/A,N/A,
2021-02-19,current,DVA,Davita Inc,N/A,N/A,
2021-02-19,current,DUK,Duke Energy CORP,N/A,N/A,
2021-02-19,current,DTE,Dte Energy Co,N/A,N/A,
2021-02-19,current,DRI,Darden Restaurants Inc,N/A,N/A,
2021-02-19,current,DRE,Duke Realty Corp,N/A,N/A,
2021-02-19,current,DPZ,Dominos Pizza Inc,N/A,N/A,
2021-02-19,current,DOW,Dow Inc,N/A,N/A,
2021-02-19,current,DOV,DOVER Corp,N/A,N/A,
2021-02-19,current,DLTR,Dollar Tree Inc,N/A,N/A,
2021-02-19,current,DLR,Digital Realty Trust Inc,N/A,N/A,
2021-02-19,current,DISH,DISH Network CORP,N/A,N/A,
2021-02-19,current,DISCK,Discovery Inc,N/A,N/A,
2021-02-19,current,DISCA,Discovery Inc,N/A,N/A,
2021-02-19,current,DIS,Walt Disney Co,N/A,N/A,
2021-02-19,current,DHR,Danaher Corp,N/A,N/A,
2021-02-19,current,DHI,Horton D R Inc,N/A,N/A,
2021-02-19,current,DGX,Quest Diagnostics Inc,N/A,N/A,
2021-02-19,current,DG,Dollar General Corp,N/A,N/A,
2021-02-19,current,DFS,Discover Financial Services,N/A,N/A,
2021-02-19,current,DE,Deere & Co,N/A,N/A,
2021-02-19,current,DD,DuPont de Nemours Inc,N/A,N/A,
2021-02-19,current,DAL,Delta Air Lines Inc,N/A,N/A,
2021-02-19,current,D,Dominion Energy Inc,N/A,N/A,
2021-02-19,current,CVX,Chevron Corp,N/A,N/A,
2021-02-19,current,CVS,CVS HEALTH Corp,N/A,N/A,
2021-02-19,current,CTXS,Citrix Systems Inc,N/A,N/A,
2021-02-19,current,CTVA,Corteva Inc,N/A,N/A,
2021-02-19,current,CTSH,Cognizant Technology Solutions Corp,N/A,N/A,
2021-02-19,current,CTLT,Catalent Inc,N/A,N/A,
2021-02-19,current,CTAS,Cintas Corp,N/A,N/A,
2021-02-19,current,CSX,Csx Corp,N/A,N/A,
2021-02-19,current,CSCO,Cisco Systems Inc,N/A,N/A,
2021-02-19,current,CRM,Salesforcecom Inc,N/A,N/A,
2021-02-19,current,CPRT,Copart Inc,N/A,N/A,
2021-02-19,current,CPB,Campbell Soup Co,N/A,N/A,
2021-02-19,current,COST,Costco Wholesale Corp,N/A,N/A,
2021-02-19,current,COP,Conocophillips,N/A,N/A,
2021-02-19,current,COO,Cooper Companies Inc,N/A,N/A,
2021-02-19,current,COG,Cabot Oil & Gas Corp,N/A,N/A,
2021-02-19,current,COF,Capital One Financial Corp,N/A,N/A,
2021-02-19,current,CNP,Centerpoint Energy Inc,N/A,N/A,
2021-02-19,current,CNC,Centene Corp,N/A,N/A,
2021-02-19,current,CMS,Cms Energy Corp,N/A,N/A,
2021-02-19,current,CMI,Cummins Inc,N/A,N/A,
2021-02-19,current,CMG,Chipotle Mexican Grill Inc,N/A,N/A,
2021-02-19,current,CME,Cme Group Inc,N/A,N/A,
2021-02-19,current,CMCSA,Comcast Corp,N/A,N/A,
2021-02-19,current,CMA,Comerica Inc,N/A,N/A,
2021-02-19,current,CLX,Clorox Co,N/A,N/A,
2021-02-19,current,CL,Colgate Palmolive Co,N/A,N/A,
2021-02-19,current,CINF,Cincinnati Financial Corp,N/A,N/A,
2021-02-19,current,CI,Cigna Corp,N/A,N/A,
2021-02-19,current,CHTR,Charter Communications Inc,N/A,N/A,
2021-02-19,current,CHRW,C H Robinson Worldwide Inc,N/A,N/A,
2021-02-19,current,CHD,Church & Dwight Co Inc,N/A,N/A,
2021-02-19,current,CFG,Citizens Financial Group Inc,N/A,N/A,
2021-02-19,current,CF,CF Industries Holdings Inc,N/A,N/A,
2021-02-19,current,CERN,CERNER Corp,N/A,N/A,
2021-02-19,current,CE,Celanese Corp,N/A,N/A,
2021-02-19,current,CDW,CDW Corp,N/A,N/A,
2021-02-19,current,CDNS,Cadence Design Systems Inc,N/A,N/A,
2021-02-19,current,CCL,Carnival Corp,N/A,N/A,
2021-02-19,current,CCI,Crown Castle International Corp,N/A,N/A,
2021-02-19,current,CBRE,Cbre Group Inc,N/A,N/A,
2021-02-19,current,CBOE,Cboe Global Markets Inc,N/A,N/A,
2021-02-19,current,CB,Chubb Ltd,N/A,N/A,
2021-02-19,current,CAT,Caterpillar Inc,N/A,N/A,
2021-02-19,current,CARR,Carrier Global Corp,N/A,N/A,
2021-02-19,current,CAH,Cardinal Health Inc,N/A,N/A,
2021-02-19,current,CAG,Conagra Brands Inc,N/A,N/A,
